,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
seasons,OGL,OR,OTIE,TOCI,IR,CNPL,RSG,OTRCI,ITE,USG,NOI,NCI_NP,EPS,OI,OC,ORV,OG,OGN,OE,EBT,EAT,ME,CI,CI_POE,CI_NCI,PUL,NTAX_NR,NTAX_CR,FC,NSR
2024Q3,18.53,0.41,5.0,-210.6,226.0,3251.0,0.0,-199.7,591.1,0.0,234.2,-1.77,12.55,3608.0,3203.0,7597.0,4393.0,4393.0,790.8,3842.0,3253.0,228.9,3040.0,3021.0,19.24,3251.0,0.0,0.0,26.36,0.0
2024Q2,0.58,2.03,-12.74,134.6,209.8,2477.0,0.0,127.1,586.5,0.0,197.6,-1.84,9.56,2866.0,3154.0,6735.0,3581.0,3581.0,703.0,3063.0,2478.0,192.9,2611.0,2623.0,-11.39,2477.0,0.0,0.0,26.38,0.0
2024Q1,-0.86,0.72,-1.3,412.7,193.6,2252.0,0.0,363.8,413.2,0.0,175.2,-2.64,8.7,2490.0,2781.0,5926.0,3145.0,3145.0,653.6,2665.0,2255.0,161.4,2665.0,2674.0,-9.03,2252.0,0.1,0.0,26.98,0.0
2023Q4,21.95,0.76,0.58,-372.3,174.1,2383.0,0.0,-376.7,399.7,0.0,180.8,-4.06,9.21,2602.0,2938.0,6255.0,3318.0,3318.0,716.2,2783.0,2387.0,182.4,2011.0,2012.0,-1.22,2383.0,-1.25,0.0,29.19,0.0
2023Q3,1.47,0.78,1.31,260.5,156.0,2108.0,0.0,259.5,311.5,0.0,138.8,-2.05,8.14,2281.0,2501.0,5467.0,2966.0,2966.0,687.1,2419.0,2110.0,150.0,2368.0,2373.0,-4.41,2108.0,0.0,0.0,31.12,0.0
2023Q2,6.78,2.38,-0.47,56.59,136.7,1817.0,0.0,52.63,329.6,0.0,127.2,-0.82,7.01,2020.0,2206.0,4808.0,2602.0,2602.0,581.9,2147.0,1818.0,141.6,1874.0,1882.0,-8.11,1817.0,0.0,0.0,30.05,0.0
2023Q1,12.56,0.88,0.47,-32.96,136.2,2069.0,0.0,-38.91,373.3,0.0,130.4,-0.38,7.98,2312.0,2221.0,5086.0,2865.0,2865.0,553.1,2443.0,2070.0,134.8,2037.0,2038.0,-1.81,2069.0,0.0,0.0,29.64,0.0
2022Q4,6.33,0.062,3.91,-164.8,105.9,2959.0,0.0,-161.4,387.9,0.0,96.29,-0.26,11.41,3250.0,2363.0,6255.0,3892.0,3892.0,645.4,3347.0,2959.0,169.6,2794.0,2789.0,4.93,2959.0,-7.34,0.0,33.35,0.0
2022Q3,9.23,1.21,0.12,321.2,66.15,2810.0,0.0,322.0,357.2,0.0,63.67,1.03,10.83,3103.0,2426.0,6131.0,3705.0,3705.0,601.9,3167.0,2809.0,145.0,3131.0,3129.0,2.01,2810.0,0.0,0.0,33.7,0.0
2022Q2,4.63,5.12,0.3,113.8,35.46,2372.0,0.0,115.1,288.2,0.0,38.75,1.53,9.14,2621.0,2187.0,5341.0,3155.0,3155.0,533.7,2660.0,2370.0,115.7,2486.0,2490.0,-4.89,2372.0,-0.002,-0.53,29.04,0.0
2022Q1,14.75,3.08,-8.02,154.1,16.74,2029.0,0.0,150.5,239.6,0.0,30.42,1.4,7.82,2238.0,2179.0,4911.0,2732.0,2732.0,486.1,2268.0,2027.0,105.0,2183.0,2183.0,0.009,2029.0,0.0,0.47,21.41,0.0
2021Q4,9.47,1.6,-1.05,-26.78,14.63,1664.0,0.0,-36.58,184.5,0.0,20.47,1.41,6.41,1828.0,2074.0,4382.0,2308.0,2308.0,478.8,1848.0,1662.0,136.5,1637.0,1636.0,1.43,1664.0,0.29,0.034,21.74,0.0
2021Q3,11.57,1.56,-0.93,-7.07,13.57,1565.0,0.0,-9.88,173.7,0.0,28.48,2.21,6.03,1710.0,2019.0,4147.0,2127.0,2127.0,416.5,1739.0,1563.0,89.3,1558.0,1555.0,2.22,1565.0,0.002,0.0,13.34,0.0
2021Q2,19.09,3.49,0.54,-102.0,14.29,1345.0,0.0,-111.2,149.1,0.0,37.24,1.23,5.18,1457.0,1859.0,3721.0,1862.0,1862.0,405.8,1494.0,1344.0,78.27,1243.0,1242.0,1.22,1345.0,0.001,0.0,11.34,0.0
2021Q1,22.62,3.08,-1.89,59.67,14.61,1397.0,0.0,61.65,153.3,0.0,45.26,0.48,5.39,1505.0,1726.0,3624.0,1898.0,1898.0,391.1,1551.0,1397.0,65.24,1457.0,1457.0,0.48,1397.0,0.56,0.0,7.72,0.0
2020Q4,15.49,1.99,2.05,-156.5,16.53,1428.0,0.64,-128.9,182.8,0.0,39.87,0.58,5.51,1571.0,1664.0,3615.0,1952.0,1952.0,383.2,1611.0,1428.0,63.88,1272.0,1271.0,0.58,1428.0,-4.22,0.0,7.69,0.0
2020Q3,26.01,1.18,4.45,-54.35,18.98,1374.0,0.13,-56.08,177.5,0.0,50.77,0.68,5.3,1500.0,1659.0,3564.0,1905.0,1905.0,408.9,1551.0,1373.0,92.73,1319.0,1319.0,0.68,1374.0,-0.002,0.0,3.73,0.0
2020Q2,23.23,2.33,-0.085,-118.8,24.78,1209.0,-0.69,-119.1,155.1,0.0,53.04,0.7,4.66,1311.0,1460.0,3107.0,1647.0,1646.0,335.2,1364.0,1208.0,68.94,1090.0,1089.0,0.71,1209.0,-0.004,0.0,4.09,0.0
2020Q1,3.31,1.11,0.68,26.48,29.89,1171.0,-0.077,27.38,150.8,0.0,36.26,0.76,4.51,1285.0,1498.0,3106.0,1608.0,1608.0,323.2,1321.0,1170.0,59.03,1197.0,1196.0,0.76,1171.0,-0.001,0.0,5.31,0.0
2019Q4,8.27,1.71,-0.16,-167.4,33.18,1161.0,-0.43,-170.4,127.0,0.0,45.38,0.43,4.48,1242.0,1580.0,3172.0,1592.0,1592.0,349.4,1288.0,1160.0,74.98,993.4,992.9,0.43,1161.0,0.31,0.0,6.44,0.0
2019Q3,4.59,0.02,-1.46,-32.25,39.16,1011.0,-0.2,-31.4,112.3,0.0,44.49,0.33,3.9,1079.0,1536.0,2930.0,1394.0,1394.0,313.8,1123.0,1011.0,58.1,978.8,978.4,0.33,1011.0,-0.15,0.0,8.43,0.0
2019Q2,-3.14,2.44,-2.61,35.26,45.47,667.8,0.57,32.43,137.7,0.0,42.41,0.11,2.57,763.0,1373.0,2410.0,1037.0,1037.0,271.6,805.5,667.6,42.88,703.0,702.9,0.11,667.8,-0.13,0.0,8.65,0.0
2019Q1,-0.28,44.09,-0.74,46.16,0.0,613.9,0.054,46.75,67.94,0.0,39.16,-0.065,2.37,642.7,1284.0,2187.0,903.5,903.6,260.2,681.8,613.9,41.41,660.0,660.1,-0.065,613.9,0.18,0.0,8.99,0.0
2018Q4,-4.28,41.51,-1.44,16.49,0.0,1000.0,0.0,43.76,110.8,0.0,39.59,0.21,3.86,1071.0,1517.0,2898.0,1380.0,1381.0,308.5,1111.0,999.8,56.87,1017.0,1016.0,0.21,1000.0,-1.29,0.0,8.76,0.0
2018Q3,-4.24,38.17,0.07,-38.81,0.0,891.0,0.0,-34.92,97.99,0.14,36.52,0.26,3.44,952.5,1370.0,2603.0,1234.0,1234.0,281.3,989.0,890.7,46.57,852.2,851.9,0.27,891.0,-0.3,0.0,7.39,0.0
2018Q2,-2.09,37.3,-6.63,192.6,0.0,722.9,0.0,201.4,152.9,0.57,31.59,0.028,2.79,844.3,1217.0,2333.0,1116.0,1115.0,264.4,875.9,722.9,50.71,915.5,915.5,0.032,722.9,0.028,0.0,6.28,0.0
2018Q1,0.88,31.55,-13.02,-71.86,0.0,897.9,-1.17,-72.43,101.6,0.0,31.17,0.03,3.46,968.3,1231.0,2481.0,1250.0,1249.0,267.3,999.4,897.8,48.52,826.0,826.0,0.053,897.9,-0.39,0.0,8.08,0.0
2017Q4,-0.89,27.51,-10.11,-79.76,0.0,993.1,0.0,-77.31,123.7,-0.33,27.8,0.2,3.83,1089.0,1389.0,2776.0,1387.0,1387.0,288.4,1117.0,992.9,60.18,913.3,913.1,0.2,993.1,-0.31,0.0,8.31,0.0
2017Q3,4.25,21.29,-2.87,-9.04,0.0,899.5,0.0,-9.04,105.7,-0.035,24.62,0.24,3.47,980.6,1262.0,2521.0,1259.0,1259.0,275.4,1005.0,899.3,50.04,890.5,890.3,0.16,899.5,0.0,-0.012,8.43,0.0
2017Q2,4.57,26.26,-0.86,14.1,0.0,662.7,0.0,14.1,198.5,0.45,28.62,-0.004,2.56,832.6,1051.0,2139.0,1088.0,1087.0,253.7,861.2,662.7,49.27,676.8,676.8,0.009,662.7,0.0,-0.06,8.4,0.0
2017Q1,5.15,21.05,0.19,-213.5,0.0,876.2,0.04,-213.5,102.0,0.0,24.7,-0.08,3.38,953.5,1124.0,2339.0,1215.0,1215.0,261.6,978.2,876.3,52.48,662.7,662.7,-0.062,876.2,0.0,-0.46,8.17,0.0
2016Q4,2.62,18.08,-0.25,59.32,0.0,1002.0,0.0,68.82,118.2,0.29,21.4,0.28,3.86,1099.0,1251.0,2622.0,1371.0,1371.0,271.8,1120.0,1002.0,56.99,1062.0,1061.0,0.27,1002.0,-1.27,0.55,8.11,0.0
2016Q3,4.08,15.21,0.52,-101.1,0.0,967.9,0.12,-101.1,114.6,0.0,19.87,0.3,3.73,1063.0,1284.0,2604.0,1320.0,1321.0,258.4,1082.0,967.6,55.85,866.8,866.5,0.27,967.9,0.0,0.34,8.23,0.0
2016Q2,2.22,17.93,-0.056,-3.91,0.0,725.3,0.0,-3.91,208.8,0.07,20.85,0.22,2.8,913.2,1075.0,2218.0,1143.0,1143.0,230.1,934.1,725.1,46.67,721.4,721.2,0.2,725.3,0.0,-0.1,8.21,0.0
2016Q1,4.66,13.33,0.087,-64.98,0.0,647.9,-0.33,-64.98,74.63,0.0,17.89,0.11,2.5,704.7,1121.0,2035.0,913.7,913.4,208.8,722.6,647.8,38.45,582.9,582.8,0.1,647.9,0.0,-0.17,8.51,0.0
2015Q4,9.86,12.58,2.51,-20.94,0.0,728.4,-0.007,-13.63,78.02,0.0,26.8,0.049,2.81,779.6,1046.0,2035.0,989.1,989.2,212.1,806.4,728.4,41.31,707.5,707.4,0.063,728.4,-0.99,0.13,8.2,0.0
2015Q3,38.07,10.66,-17.87,92.84,0.0,753.2,0.19,92.84,80.77,0.0,50.06,-0.12,2.91,783.9,1102.0,2125.0,1023.0,1023.0,221.6,833.9,753.3,42.97,846.0,846.1,-0.11,753.2,0.0,-0.16,7.93,2125.0
2015Q2,194.9,15.45,-0.81,-202.6,0.0,794.1,0.0,-202.6,187.2,-0.01,210.6,-0.046,3.06,770.7,1057.0,2054.0,997.0,997.0,225.6,981.3,794.2,44.64,591.5,591.6,-0.075,794.1,0.0,0.13,7.83,0.0
2015Q1,4.1,8.82,-2.65,-16.46,0.0,789.8,0.0,-16.46,92.75,0.2,16.33,-0.06,3.05,866.3,1126.0,2220.0,1094.0,1094.0,225.4,882.6,789.9,43.66,773.4,773.5,-0.13,789.8,0.0,0.048,7.94,0.0
2014Q4,2.45,7.62,-7.67,91.09,0.0,799.7,0.15,88.98,93.45,0.0,10.95,-0.2,3.09,882.2,1120.0,2225.0,1105.0,1106.0,215.8,893.1,799.9,42.57,890.7,890.8,-0.047,799.7,0.32,-0.086,8.22,2225.0
2014Q3,0.4,6.88,-0.053,33.8,0.0,763.0,-0.032,33.8,90.76,0.0,9.49,-0.31,2.94,844.3,1035.0,2090.0,1056.0,1056.0,211.4,853.8,763.3,46.12,796.8,797.1,-0.3,763.0,0.0,0.026,8.16,2090.0
2014Q2,18.21,13.17,-2.27,-30.99,0.0,596.6,-0.044,-30.99,144.4,0.0,33.84,-0.42,2.3,707.1,918.3,1830.0,911.9,911.9,202.5,740.9,597.0,54.08,565.6,566.0,-0.43,596.6,0.0,0.14,8.01,1830.0
2014Q,0.07,6.14,-0.027,24.14,0.0,478.4,0.21,24.14,54.55,0.0,7.8,-0.25,1.85,525.2,778.4,1482.0,703.8,704.0,178.8,533.0,478.7,46.56,502.6,502.8,-0.24,478.4,0.0,-0.03,7.97,0.0
